name,ring,quadrant,isNew,status,description
React.js,Adopt,Languages & Frameworks,FALSE,no change,"<p>Among the many front-end JavaScript frameworks, <a href=""http://facebook.github.io/react/"" target=""_blank"" aria-label=""React.js. This is an external link. Opens in new tab"" class=""pop-out""><strong>React.js</strong><span class=""pop-out-icon""></span></a> stands out for its simplicity, flexibility, and performance. Its design around a reactive, component-based architecture and data binding makes it easier to manage complex application states and rendering logic. At Mable, we are exploring React.js as an alternative for front-end development due to its growing ecosystem, strong community support, and proven success across a wide range of projects. React's emphasis on reusability and composability aligns well with our goals for scalable and maintainable application development, making it a promising choice for future initiatives.</p>"
Angular,Adopt,Languages & Frameworks,FALSE,no change,"<p><a href=""https://angular.io/"" target=""_blank"" aria-label=""Angular. This is an external link. Opens in new tab"" class=""pop-out""><strong>Angular</strong><span class=""pop-out-icon""></span></a> remains a powerful choice for building robust, feature-rich web applications. As a full-fledged framework, Angular provides a comprehensive set of tools and best practices, including data binding, dependency injection, and a modular architecture, which simplifies the development of complex enterprise-level applications. At Mable, we value Angular's opinionated approach and built-in capabilities, which reduce reliance on third-party libraries and provide consistency across projects. Its long-term support by Google and strong ecosystem make Angular a reliable option for building scalable and maintainable front-end applications that align with our technical requirements.</p>"
React Hooks,Adopt,Languages & Frameworks,FALSE,moved in,"<p><a href=""https://react.dev/"" target=""_blank"" aria-label=""React Hooks. This is an external link. Opens in new tab"" class=""pop-out""><strong>React Hooks</strong><span class=""pop-out-icon""></span></a> revolutionised React development by introducing a simpler and more intuitive way to manage state and lifecycle events within functional components. By eliminating the need for class-based components in most cases, Hooks have made React development more accessible and streamlined, while enabling powerful features like reusable custom Hooks for abstracting logic. At Mable, React Hooks align with our goals for writing clean, maintainable, and reusable code, offering an elegant way to handle side effects, data fetching, and application state. Their growing adoption across the React ecosystem ensures they remain a foundational part of our front-end strategy moving forward.</p>"
Tailwind CSS,Trial,Languages & Frameworks,FALSE,no change,"<p><a href=""https://tailwindcss.com/"" target=""_blank"" aria-label=""Tailwind CSS. This is an external link. Opens in new tab"" class=""pop-out""><strong>Tailwind CSS</strong><span class=""pop-out-icon""></span></a> is a utility-first CSS framework that enables rapid UI development with a consistent, design-driven approach. Unlike traditional CSS frameworks, Tailwind focuses on composable utility classes, allowing developers to build custom designs without leaving their HTML. At Mable, Tailwind CSS offers a streamlined and efficient way to create responsive and accessible interfaces while reducing reliance on custom CSS. Its theming capabilities and pre-configured design tokens align with our goals for consistency across projects, making it an excellent choice for maintaining a scalable and cohesive design system. Tailwind's focus on developer productivity and flexibility makes it a valuable addition to our toolkit.</p>"
Next.js,Trial,Languages & Frameworks,FALSE,no change,"<p><a href=""https://nextjs.org/"" target=""_blank"" aria-label=""Next.js. This is an external link. Opens in new tab"" class=""pop-out""><strong>Next.js</strong><span class=""pop-out-icon""></span></a> is a powerful React-based framework for building fast, scalable, and optimised web applications. Combining server-side rendering (SSR), static site generation (SSG), and client-side rendering (CSR), Next.js offers unmatched flexibility for delivering high-performance, SEO-friendly applications. At Mable, Next.js is an attractive option for projects requiring dynamic content delivery and seamless user experiences, thanks to its built-in routing, API routes, and full-stack capabilities. Its robust developer tools, growing ecosystem, and focus on scalability and maintainability align with our long-term goals for delivering efficient and future-proof web solutions.</p>"
React Redux,Trial,Languages & Frameworks,FALSE,moved out,"<p><a href=""https://react-redux.js.org/"" target=""_blank"" aria-label=""React Redux. This is an external link. Opens in new tab"" class=""pop-out""><strong>React Redux</strong><span class=""pop-out-icon""></span></a> is the official state management library for React, offering a predictable way to manage the state of complex applications. By centralising the application state and enabling a unidirectional data flow, React Redux simplifies debugging and state consistency, particularly in large-scale projects. At Mable, React Redux provides a reliable and scalable solution for managing shared application state across components, ensuring predictable behavior even as applications grow in complexity. With its mature ecosystem, time-travel debugging, and middleware capabilities, React Redux aligns well with our goals for building maintainable and efficient React applications.</p>"
TypeScript,Adopt,Languages & Frameworks,FALSE,moved in,"<p><a href=""https://www.typescriptlang.org/"" target=""_blank"" aria-label=""TypeScript. This is an external link. Opens in new tab"" class=""pop-out""><strong>TypeScript</strong><span class=""pop-out-icon""></span></a> is a strongly typed superset of JavaScript that enhances code quality and maintainability by introducing static type-checking and powerful tooling. By catching errors during development rather than at runtime, TypeScript significantly reduces bugs and improves developer productivity. At Mable, TypeScript aligns with our focus on building reliable, scalable, and maintainable applications, especially as our codebase grows in complexity. Its seamless integration with modern frameworks like React and Next.js, along with robust IDE support, makes it an indispensable tool for improving code clarity, collaboration, and long-term maintainability across projects.</p>"
PostCSS,Assess,Languages & Frameworks,FALSE,no change,"<p><a href=""https://postcss.org/"" target=""_blank"" aria-label=""PostCSS. This is an external link. Opens in new tab"" class=""pop-out""><strong>PostCSS</strong><span class=""pop-out-icon""></span></a> is a versatile CSS processing tool that transforms styles using JavaScript plugins. It enables developers to extend CSS with features like custom properties, nested rules, and future syntax through plugins, while maintaining compatibility with modern browsers. At Mable, PostCSS serves as a foundational tool in our front-end build pipeline, powering frameworks like Tailwind CSS and enabling efficient, scalable CSS development. Its modular architecture allows us to customise our CSS workflow, optimise performance, and streamline the implementation of consistent design patterns, making it an essential part of our tech stack for modern, maintainable styling solutions.</p>"
Material UI,Assess,Languages & Frameworks,FALSE,no change,"<p><a href=""https://mui.com/"" target=""_blank"" aria-label=""Material-UI. This is an external link. Opens in new tab"" class=""pop-out""><strong>Material-UI (MUI)</strong><span class=""pop-out-icon""></span></a> is a React-based component library that implements Google’s Material Design system, providing a cohesive and modern UI toolkit for building responsive, accessible, and visually appealing applications. With its pre-built components, customisation capabilities, and theming support, MUI accelerates development while maintaining a consistent design language. At Mable, Material-UI is well-suited for projects that require fast prototyping and a polished user experience out of the box. Its integration with React, extensive documentation, and active community make it a valuable resource for crafting scalable and user-friendly interfaces aligned with our design standards and goals.</p>"
Ionic Framework,Trial,Languages & Frameworks,FALSE,no change,"<p><a href=""https://ionicframework.com/"" target=""_blank"" aria-label=""Ionic Framework. This is an external link. Opens in new tab"" class=""pop-out""><strong>Ionic Framework</strong><span class=""pop-out-icon""></span></a> is a powerful open-source framework for building cross-platform mobile and web applications with a single codebase. Leveraging web technologies such as HTML, CSS, and JavaScript, Ionic allows developers to create native-like experiences for iOS, Android, and the web. At Mable, Ionic is an attractive option for projects requiring fast mobile app development and seamless integration with various device features. Its rich set of pre-built UI components, extensive documentation, and active community support make it a compelling choice for delivering scalable, performant, and maintainable applications across multiple platforms.</p>"
Twitter Bootstrap,Assess,Languages & Frameworks,FALSE,no change,"<p><a href=""https://getbootstrap.com/"" target=""_blank"" aria-label=""Twitter Bootstrap. This is an external link. Opens in new tab"" class=""pop-out""><strong>Twitter Bootstrap</strong><span class=""pop-out-icon""></span></a> is a widely used, open-source front-end framework that provides a collection of pre-built responsive design components and utilities for building modern, mobile-first web applications. With its grid system, reusable components, and JavaScript plugins, Bootstrap helps speed up development and ensures consistent, responsive layouts across different screen sizes. At Mable, Bootstrap continues to be a reliable option for rapid prototyping and building user interfaces that are both simple and highly functional. While other frameworks like Tailwind CSS offer more flexibility, Bootstrap's comprehensive documentation and wide adoption make it a strong choice for projects requiring quick turnaround times and strong cross-browser compatibility.</p>"
